Date, Experience, Questions
2015-03-10 13:35:41.223,i applied through university. cleared first round. did not receive any call. the interview experience was good. the interviewers are friendly. it took 45 mins. they asked me some basic programming and data structures questions. if we know the concepts it will be easy to clear first round. they asked me some behavioral questions and some questions on resume.,where do you see in yourself in 5years    answer question
2015-02-09 12:48:47.02,contacted by recruiter to arrange a 30 minute phone interview with an engineer  then invited to complete an online coding exercise. invited onsite within a few days of the coding exercise for interviews  three 45 minute rounds of technical interviews with engineering staff. interviewers seemed generally unhappy  and they asked vague questions and didn t provide much clarification when i asked for it. one interviewer was playing with their phone while i was telling him about myself. they took really long to get back to me.,object oriented system design questions   1 answer
2014-12-01 17:23:10.36,called for a face to face interview by the hiring manager. the interview lasted for around 45 minutes. asked questions both technical and behavioral. the interviewee was very friendly and explained in detail the teams that i would be a match for.,related to my resume and some concepts in network security   answer question
2014-12-03 20:13:59.59,visa was at a career fair i attended  and they had a signup sheet for an on campus interview the next day. i signed up  showed up to the interview  and talked to the engineer. the interview was a mix of very basic technical questions  very stereotypical behavioral questions  and a software design question. i didn t hear back from them after the interview.,given hardware that can read the state of a spinning disk  which can take states red  green  or blue  design an api for users to be able to interface with the hardware.   answer question
2015-01-24 15:18:44.587,talked to the recruiter at a career fair and got the interview on the spot. when i went for the interview it was pretty informal and a one on one interview. it was pretty easy and i thought i answered the questions well.,how can you show that a binary search tree is is the same if you reflect it across its root   answer question
2015-04-06 17:54:42.217,incredible interview process. it tested your ability to cope with long delays while your potential colleagues performed simple tasks  such as responding to your emails asking about your application status. visa wants to measure how much patience you have  so they push you to the absolute edge to get an accurate estimate. my first interview was in october of 2014.  note that i had to include the year.  after waiting weeks for a response  i was invited to an onsite. weeks later  i received an online coding challenge. months after that and after many emails from me encouraging the recruiting team to do their job  thereby testing my ability to communicate and work on a team   i finally received a response in april of 2015. not many companies have the resources for an interview process that is this long. i guess they just want the best.,basic java and concurrency questions   answer question
2014-10-14 16:37:11.34,got an interview through a school career fair. the woman i talked to was very nice and offered me an interview the same day. the recruiters were the ones that interviewed all students.,most questions were behavioral. a few were basic c c   questions   answer question
2014-12-11 13:40:53.423,i gave them my resume at a seminar hosted by them. they called me back about 2 weeks later to schedule a phone interview. it s a very technical phone interview that you really must prepare for  or at least with the engineer i was set up with.,the phone interview contained a lot of questions about the mobile device i coded a lot of my side projects on  a lot of them would be difficult questions for an inexperienced mobile developer  so you must really know the architecture of that if that s where you interview revolves around.   answer question
2014-11-28 00:21:13.083,mainly behavioral. nothing was unexpected and the interviewer was really nice and encouraging  it was more like an informal conversation and liked the whole process  i was given the interview on the day of my career fair and had my interview the next day. overall  it went pretty smooth i believe.,it was pretty straightforward. just simple oop concepts.   answer question
2014-09-18 12:15:09.89,first round was a phone screen that went on for around half an hour. was called onsite the very next day for 5 one to one rounds that went on for around 2 and half hours.,none. purely technical and based on what the requirements for the position are.   answer question
Date, Experience, Questions
2013-07-30 13:04:39.02,very professional process. phone interview from hr followed by another phone interview from hiring manager. i was contacted by hr in 2 weeks time for on site interview. if you know your stuff well  interview was not very difficukt,some puzzles as how many car go through san mateo bridge everyday   answer question
2015-10-19 07:55:10.55,the interview was held on campus by an alumna  so it was not that stressful. i was caught off guard since i didn t expect them to call me the day after the fair for the interview  especially since my hands were already full with a senior design project. the interview was not hard  but the two questions that i received were very specific and i didn t prepare for it  see the  interview questions  section . as to be expected  i did not get an offer.,what is the main difference between array and arraylist    1 answer
2015-08-30 02:26:09.67,the interviewers were very friendly. your resume means a lot. they will dig your resume and ask some questions on your projects and internships. key skills tested  data structures  networks  databases. the total process had 4 rounds. first round was a coding round conducted on hackerrank portal. second and third rounds were technical interviews. final round is a hr interview. all the interviews are 1 1,write code for given question and do unit testing.   answer question join queries and nested queries   answer question http request and response   answer question
2015-10-18 12:41:59.23,the process was all on the college campus. there were three rounds after a coding test. the test had 4 very basic questions. the first interview was one to test basic knowledge over multiple areas. the second was a discussion on my solutions to the coding test and the third was a hr,what was the single most frustrating thing in your life  what did you learn from it    answer question
2015-09-16 16:49:51.18,first was preliminary test  4 questions  level easy  q1  basically wanted to find average of large number of vales. too easy q2  path traversal in a matrix q3  find the word that repeats itself first in a given text. q4  pnc question. had to find large ncr using dp. was followed by two tech interviews and one hr interview.,q  how is searching and indexing implemented in windows  etc    1 answer q  kth last term in a linked list   1 answer q  find word in a paragraph with maximum occurance   1 answer q  data concurrency in databases.   1 answer q  data concurrency in os   1 answer
2015-08-22 10:37:15.08,first round was coding.it has 5 coding questions  moderate type . around 15 were shortlisted.i was not there in the list.later they gave second shortlist and i was selected. second round techinical interview . asked about oops concepts projects tree pointers etc. third round technical. told to implement simple game  asked about hashing  different types. fourth round hr.why visa about projects. they want to see our communication skills,about oops conecpts some security related questions   answer question
2015-05-10 06:23:14.41,applied online. got a phone interview about 2 weeks later. questions on core java  data structure  main focus   design patterns  and also on web development  this is mentioned in my resume . then completed online coding test. 3 mcqs and 2 coding questions. coding problem are not difficult to solved  but i guess they expect more than simply solving the problems. interview process ended at the online test.,java  core java  static block  finalizer etc.   data structure  sorting  graphs  trees etc.   design pattern  singleton etc . web programming  asked on how the client and server works etc.   answer question
2015-07-25 11:16:08.02,one phone interview  one online test and half day interview about algorithm coding and personality test. suggestion is to be really familiar of what is on your resume. no extensive programming experience is required  altitude is important,sorting   answer question
2015-08-02 08:19:12.147,they came to our college and the pre interview test was online and consisted of 2 coding questions and 6 mcq subjects. then we were called at visa office in bangalore for interview. there were 3 rounds out of which 2 were technical and 1 was hr. the interviews were good and consisted mainly of puzzles.,about java  sql  c  c   and puzzles   answer question
2015-02-13 02:56:55.68,i applied through campus. there was an online exam initially which consisted of 2 coding questions and 6 mc rounds. then there were 3 rounds of f2f interviews done back to back.,project was the most crucial thing to get selected. palindrome of a string. join queries in mysql  normal forms in dbms.   2 answers
Date, Experience, Questions
2015-03-10 04:11:17.793,it was on campus. visa is setting up a new tech office in bangalore for which they are recruiting from iit and nit pretty aggressively. there were 3 interviewers  all pretty big shots at visa s us and singapore offices. they treated every candidate with respect and made a very good impression on the students in general.,very varied questions. equal importance given to a lot of subjects. check candidate experiences on geeksforgeeks. don t focus on just dsa.   answer question
2015-09-24 05:22:58.707,in first round he just asked tell me about yourself   software skills. within 5 minutes interview is over   not selected. interviewer is not that much good. there are totally 5 rounds. if you crack all these you will get offer. one of my friend selected. it was not that much tough. mostly the panel matters where you have been interviewed. for us the interview was arranged by infosys people.,1st round  tell me about yourself software expertise in c java   answer question
2015-09-27 02:52:44.68,first round is hr phone interview  behavior questions   phone screen. then follows one round of senior manager interview and another round of manager interview. both contains technical questions and some basic background questions,what if you are given huge amount of data   answer question
2015-06-30 20:40:51.3,for a fresher  process starts with test ofcourse intial ppt will be there . test consists of five sectons. all are multiple choice type except programming round. programming round comprises of two programs. you have choice of any language c c   java or php etc. an integrated ide will be provided for the programming round. programming round is very crucial  on executing two programs chances of shortlisting are more. 1  programming 2  os and dbms 3  hadoop and machine learning 4  infrastructure 5  networking and application security,reverse a linked list   answer question
2014-12-13 14:20:53.48,a multiple choice test comprising of topics across all the domains of computer science like networking infrastructure machine learning hadoop these were a tough ask  operating system and application security. also there were two programming questions which were easy enough. the questions were as follows  1. given a word find the value of it according to a certain rule  the alphabets were given a value in a fibonacci sequence  2. given resources and their worth and total time find the maximum value you can obtain from them. was a simple dp implementation  first interview  the interview started with basic  tell me about yourself . then the interviewer asked me a few questions on oop s namely on data encapsulation  inheritance  polymorphism. then he asked me one question on a binary tree. i didn t get through to the next round. there were 3 rounds of interview in total.,first round was a telephonic round  basic java  threads . followed by 2 technical rounds topics covered are data structures threads design patterns  s w dev life cycle  and one coding round. for coding round they will give you a laptop and an editor  eclipse  basically in coding round they will give 3 questions 1.basic logic s like fibonacci series 2.algorithms  searching   sorting etc  3.threads   producer consumer problem  dinning etc  followed by two hr rounds. to do s   1 get well versed with threads. they concentrate more on this  2 in coding round if you don t know logic to any of the question don t give a blank paper.  try to solve it  write more comments   3 have a good understanding of ds linked list  hash map etc  and their time complexities. 4 hr rounds are treated more important than technical rounds.make sure you are well prepared with below questions why are you leaving your current company   this is a killer question  even if you have strong technical skills you may simply lose offer because of this questions.the best and safe answer would be to say  looking for new challenges  but be ready for subsequent question followed by that question.   5  dont try to impress manager or delivery manager with larger than life answers    make sure your answers cross the bar rather than looking for 99 marks out of 100.   answer question
2015-08-31 08:47:05.063,i was hired as part of on campus recruitments at one of the iits. visa was a day 0 company but their questions were way too simple compared to the rest of the companies in that slot. they have weird hiring policies. postgraduates with 0 industry experience are directly hired to senior sw engg posts. huge difference in salaries for the same profile based on the candidate s college. interview questions were simple. there were some puzzles and some knowledge based questions. the coding questions were too simple and cliche like   reverse a linked list  merge sort  quick sort etc. i don t know how they can identify a candidate s coding skills based on such questions.,No Question
2014-11-20 08:08:49.207,in online test  six sections are there. first section consists of two coding questions rest all sections are mcq s. they are asking from computer networks   java   securities mainly. coding questions are very simple.mcqs are very easy and they are asking from meching learning also,No Question
2014-10-24 06:56:30.513,i have applied for software engineer role through their portal.got a call from hr after a week. total there are 6 rounds one telephonic   two technical   one coding and two with manager and delivery manager,No Question
