Date, Experience, Questions
Date, Experience, Questions
2015-10-05 20:40:52.19,referral school career fair  then phone screen  then an onsite. you re either applying for a software engineering role or a program manager  pm  pretty much product managing  role  though often times they don t really take your preferences into account. the onsite consists of 3   5 interviews  it oddly varied depending on the person  not sure why that is .,a recruiter read off a list of questions from a sheet of paper and recorded them down. questions were things like    tell me a time when you worked on a team  what role did you play   tell me a time when you faced a technical difficulty   how many lines of code was your biggest project   tell me about a project you  039 ve worked on   do you like problem solving    1 answer
2015-10-09 12:22:21.383,the guy that i interviewed with was very passionate about working for microsoft and we went over a few technical questions for about 30 minutes before talking about what it is like to work at microsoft,build a class for a vending machine.   answer question
2015-10-15 12:44:42.7,i applied on my university s career fair  and got a interview about 2 weeks later. i was asked about one technique question and my resume  mainly resume. the technique question was shown below  i did it in a wrong way though. the interview last about 30 minutes. overall  it was a good experience.,how to find a cycle in a link list    answer question
2015-10-19 09:48:55.383,it is an on campus interview. the coding problem is merge two sorted array. it is very easy  but i think my performance is not good enough. there re something might be improved  1. use more clear and brief language to express your solution. 2. code faster than you can solve more questions. 3. once you start coding  that is your final solution  so try to do and explain all optimization before that.,1. talk about a recent project 2. merge two sorted array   answer question
2015-08-15 20:46:05.603,applied through my university career fair. it was a phone interview for an internship. most of the questions were related to algorithms and data structures. if you are good at data structures  you can ace the interview.,don  039 t remember much. one of them was the difference between an arraylist and linked list.   answer question
2015-09-18 12:01:37.433,after an on campus screening interview  i was invited to seattle for final round interviews. i had 4 technical interviews back to back mainly centered on coding problems and technical discussions. all of the interviewers where really kind. showing how you approach different problems is key.,standard programming questions involving data structures and algorithms.   answer question
2015-10-08 12:22:01.547,they came to my university and asked me a few personal and technical questions. i received an email asking if i would like to interview and went the next week. i think they did this to all cs majors who had been to microsoft events on campus in the past. i messed up the technical part of the interview but it wasn t too hard. they let you choose the language to do it in. i d recommend python because of all the built in functions.,they gave me a string and asked me how to remove all instances of a certain letter from the string.   answer question
2015-10-07 15:04:34.583,four interviews  ms really a nice company  good impression  the interviews are nice and really want to share their ideas and discuss with you about the problems. just one of them when i explain my code  he played phone.,1. leetcode s spiral matrix 2. wirte a readwrite class and implements readlock readunlock writelock and writeunlock four functions with a mutex class  based on crew pram 3. some string operation algorithm questions   1 answer
2015-10-05 12:47:18.16,on campus interview. first some discuss about my background and then went straight to the white board coding part. it was not very difficult but he asked me for other way to solve it after i gave one solution. then went back to question about how you solve a conflict before.,bst in order output   answer question
2015-09-28 08:26:12.483,it was a pretty relaxing interview. it wasn t like normal interviews where i m barraged with questions  this was more like a conversation. i had two interviewers back to back. they both asked me white board questions and helped me solve the problems.,create a function that will create a score for a word  kinda like words with friends .   1 answer
Date, Experience, Questions
2015-09-30 19:51:48.9,on ground interview at uva. first  he ask me a technique question. it is a very basic problem. but i am very nervous so i do not do well in this problem and make some mistakes. then it is behavior questions. they are very normal   popular behavior questions listed below. the whole interview lasts for about half an hour. at last the recruiter staff let me ask for a question.,reverse linked list. the most impressive project experience. the difficulty in group collaboration.   answer question
2015-10-18 16:22:03.76,there was an on campus interview at my college. i was asked about my interest in computer science. he then proceeded to ask me about caching basics. i was then given a database cache question. for the final round  there were four 45 minute interviews with questions on stacks  depth first search and testing and validation.,implement a stack using arrays.   answer question
2015-10-12 17:09:37.46,it s a 30min interview. i talked about my projects with the interviewer. and he asked me some coding questions  including basics about c  . the interviewer  a indian man  is a senior software engineer who works on operating system. although the question is easy  i still made a small bug in the coding.,q1  given a string s  if there are two adjacent  a   turn the substring into  a   if there is one  b   turn the  b  into  bb . for example   aabbaaa    abbbbaa   q2  how the stl vector works.  i use c      answer question
2015-09-01 16:05:44.363,initial screening interview and then day long interview. on the day  4 interviews. 3  super technical  one is generic. interviewers are super nice  always helpful. they will help you if you are stuck. overall  fantastic experience.,stack related question   answer question
2015-08-19 13:52:44.813,talk about my resume. ask about my previous project  what is my contribution of that project  what is my role in the past job  and some detail background knowledge related to that position  some programming problems,what is your most favorite project in that past   answer question
2015-07-25 10:03:23.337,i was contacted by a microsoft recruiter  who by the way gave me one of the worst customer experiences. the response time for each email was minimum of 3 days    who found a team for me to interview. i did not know that there was a microsoft policy  and i was educated of this via my recruiter   that microsoft does not schedule an interview more than 14 days in advance. so 14 days before i actually wanted to schedule an interview i contacted the recruiter. after being assured that my interview was scheduled  i applied for brief break from work. the interview did not happen when i had taken a leave of absense  so time off wasted  . i feel getting a good recruiter to work with is an important thing with microsoft. there was a 45 min phone screen. there were 5 onsite interviews. 4 techincal and 1 hiring manager. i did not get an offer because the hiring manager said i had a lot of ui experience and the team had another candidate who had more backend experience. the hiring manager requested the recruiter to help me find another position but i did not pursue as the recruiter was a pain to work with.,graph coloring   answer question there is a pixel map with 1  039 s representing land and 0 representing water. find the number of continents  not connected groups of 1  039 s .   answer question convert integers to roman numerals   1 answer write a function to return a list of files  recursively  given the root directory node. how will you design a many to many relational database   what are the considerations you have when creating a web service  how would you do load balancing    answer question
2015-07-05 12:53:46.307,3 interviewers interview you separately  pretty much a basic software interview  ask you a technical question  then make you code it out on their whiteboards. make sure to brush up on your syntax for all the languages you know.,linked list question   answer question
2015-06-29 23:26:25.17,i applied online and got a phone interview about a week later. they started by briefly going over my resume and then delved into a few basic behavioral questions. this part was fine but i stumbled quite a bit when i started getting asked more technical questions. i m not too surprised that i didn t make it any further in the process.,describe the most difficult programming project you ever undertook and the process by which you succeeded.   answer question
2015-06-20 08:39:36.157,i started with an on campus interview that was originally rescheduled. after what i thought was a mediocre first round interview  i was told i would not move on due to no more availability for final round  which was later reversed. despite putting certain offices and positions as my preference on the application  i was interviewed for a team i was not particularly interested in at an office i did not want to be at  it was not clear that the interview would be for a particular team until i walked in the door that morning . there were four 45 minute whiteboarding interviews focused on both coding and design principles.,reverse words of a string.   1 answer
2015-06-19 19:33:02.06,the day consisted of four 45 minute interviews with team members and the manager of the team that was considering hiring me. there was 15 minutes between each interview where the interviewer from the last interview talked with the interviewer for the next interview so each interviewer knows what you have said and done through the entire day.,pretty standard software questions with a pretty decent focus on testing the code you write.   answer question
Date, Experience, Questions
2015-06-11 16:43:57.39,i was approached by the campus recruiter. they came to my school and i did on campus interview. a few weeks later  i was invited to onsite. i met with  5 engineers   engineering managers. all of them asked technical questions or simple behavioral questions  how would you resolve situation where xxxxxxx happens.... ,1. reverse string except spaces. a string has mix of alphabets and spaces. your task is to reverse the string  but preserve the positions of spaces. for example  reverse of   a if  is   f ia  2. an array of size n has all but one numbers between 1 and n 1. find the missing one.   4 answers
2015-05-23 07:36:24.56,got the interview at their campus recruitment event. a plesant microsoft employee who is an alum of my school talked to me a bit about my interests  experiences and signed me up for an interview 2 weeks from the date.,given two rectangles  check if they intersect  he also asked me if i have seen the question before to which i replied i had but that i had not tried solving it.   3 answers
2014-10-15 08:19:23.14,i initially had a on campus interview at my university. it was short 30 minute interview where they went over my resume and had a quick technical question. i heard back around 3 weeks later  mainly b c i had a offer that was on the verge of expiring. they flew me out to the redmond campus that same week. the day of the interview  i arrived on site around 8am and had a quick chat with hr. they told me which team i was interviewing for and sent me to the building for the interviews. i had 5 interviews and 1 lunch interview. this lasted until around 3pm. i received a call the next day and was extended an offer. the technical questions asked  on campus interview  remove duplicates from an unsorted array on site interviews  implement strtok reverse string ie. hello world    world hello  find lca for bst find first non repeating character in string given a list of characters and the function tolower  implement toupper check for palindrome in string and singly linked list check if binary tree is bst,implement strtok   4 answers
2015-05-17 21:12:24.25,5 rounds of interviews.each interview with one interviewer and one hour.from 9 00 to around 2 20. 3rd interview is lunch interview.first interview the question is more difficult than i thought.so we need a clear mind before interacting with the interviewer.lunch interview the first 30 mins is lunch and basic questions about experience and interest.this is a good time to show how interested you are in the team.every round of interview is about 2 algorithm questions and lunch interview has one question.basically they can ask anything.you need to explain how you approach this question and your solution before you start programming.,multiply 2 numbers without using   sign   3 answers
2015-05-30 14:23:22.787,the process was on the phone first  then in person 3 times. the interviewer decided that we should cycle through the teams that are hiring to see if i d be a good fit for any of them. each team was unique enough to offer different questions into difference technologies.,there were more abstract estimations than i expected. the whole how many windows in nyc type questions were rampant  almost to a point where i was questioning the interviewer.   answer question
2015-06-03 10:45:27.813,there was a initial phone interview and then there is an on site interview. the on site interview was in 3 parts each increasing in difficulty. 1.  basic introduction and a simple problem 2.  question related to the group s work 3.  a design question.,1.  find a first repeating string in a large text file. 2.  check if the given cordinates on a map correspond to the correct address  where address or cordinates are provided in a tab separated file  3.  design a game like angry birds   answer question
2015-07-21 13:17:53.817,i was contacted by hr on linkedin. though i was not very much interested  i decided to give a shot. i had first phone interview  and followed by 5 interviews on campus.,1  how would you sort large files. on campus questions 1  2 sum problem 2  loop in list  and detect start of it 3  design tic tac toe 4  hr type interview.   answer question
2015-10-13 18:28:45.17,applied online and communicated with recruiter to schedule a phone interview. basic questions about prior experience and informing me of the job description and requirements. phone interview lasted 30 minutes  later got call for in person interview. did one hour in person interview,what was a recent challenge you faced    answer question
2015-05-06 09:25:32.373,first interview was in university  they asked a matrix question from the  cracking the programming interview  book. afterwards they flew me to redmond for the final round. they literally paid for everything  hotel  flight  rental car  taxi  space needle ticket  meals and so on. during the day i had 5 interviews back to back. the questions are very standard but covers almost all data structures and algorithms. still they are much easier than the ones i got from google. overall the interviewers are very nice and helpful. they made the interviews seem like a work place discussion rather than tests so i was very relaxed and confidently talked my way through it. got an offer within a week.,questions can mostly be found on geeksforgeeks  the topics include binarytree  recursion  2d array  suffix trie  hashing etc. 1. implement  atoi  2. the skylines problem 3. two lines on a 2d dimension  given their end points  check if they intersect  this is more of a math problem but i just coded it up in c    4. binary tree modification  make all parents  values be the sum of their direct children. there are more but i can t remember.   answer question
2015-05-06 15:35:05.02,i had an on campus interview briefly after my school s career fair  then i was flown to seattle for an on site. the on campus interviewer didn t know what haskell was  which really surprised me. other than that it was a pretty easy technical question  and a few behavioral question. the on site interview in their headquarter was very organized  however my last interviewer told me  i know people can t think when interviewers stare at them  so i am gonna check my emails for a while while you code on the board  no need to talk through every line of code to me.  which i found odd. and that was the interview i failed. the questions were all pretty standard  harder than the on campus one but still very manageable.,replace each space with   20  in a string   1 answer
Date, Experience, Questions
2015-03-26 13:59:22.21,sent in resume  got a phone call that was very high level and just asking things like am i allowed to work in us  etc. then i was sent info to set up a technical lync interview with the project lead. this was enjoyable and fairly relaxed. you type code in whatever language you want. i think they like to see your thought process and they will help you if you talk through it and ask questions.,reverse a linked list. implement and evaluate expected runtime of bogosort.   answer question
2015-04-24 08:04:36.22,there were two stages  rounds 1 and 2. the first round is done on the university campus  where they get to know you and assess your skills. i applied after a coding competition held on campus. this interview involved one technical question and some questions about my history. the interviewer simply wanted me to gush about who i am and what i m proud of. round 2 was a very different experience. this round they bring you to the redmond campus for a set of interviews  i was flown out from ottawa. there will be 3 5 interviews  depending on constraints. the interviewers all ask at least 1 technical question  and generally these questions cover your entire skillset. it s difficult if you re nervous  but if you go in with a good mood and no expectations you can get through fine.,design a function that takes in 2 strings representing numbers and adds them together as if they are numbers  and outputs the result as a string. you cannot assume the number is any containable size  i.e. the value represented could be larger than long long long long etc. .   1 answer reverse a linked list   answer question encode decode two strings into one string  and back to two   answer question design a notification system to be used by clients to deliver content to customers.   answer question
2015-03-10 13:43:52.487,one one one interview. interviewer was super friendly. it was more like having a casual conversation with one of the industry s best guys. he told me a lot about the industry culture and life at microsoft. microsoft interviews can be a great learning experience and can motivate you further.,stuff about my resume.   answer question
2015-03-05 16:22:44.28,there was career fair in the school and i was attending there. in ms booth  i found the appropriate position and drop my resume. several days later  i got the email to assign the phone screening interview. i got several questions about oop concept and sort algorithms. and then i got the email from ms and they said they want to invite me for the on site interview in seattle. there are 3 interviewer for on site interview.,1st interviewer asked about the data structure question like linked list and queue and binary tree. and he request to code queue and circular queue. and 2nd interviewer ask me least recently used  lru  cache questions. and i did not know about it so he explained me how it works and he ask coding. 3rd interviewer asked me about the function pointer in c c   and how java language can work like function pointer in c c  . does java capable to pass the parameter using  call by reference  or  call by value   how java can pass the address of object    answer question
2015-03-05 15:19:15.377,the interviewer spent 70  of the time going over my resume and asking me behavioral questions  which didn t really leave that much time for the technical question. while answering the technical question the interviewer was completely silent the entire time and didn t really offer much detail when i asked for clarification.,given an array of numbers how would you determine all the numbers that repeated more than once    1 answer
2015-03-12 11:28:07.07,1. handed in my resume to hr during the campus career fair. 2. got on campus interview  1 hour  not hard. got response 1.5 weeks later. 3. onsite with 5 interviews  4 technicals and 1 behavior. the onsite m provides is the best i have heard of  which really made me turn to like this company and seattle.,1. how to design a cache data structure for a certain search use case 2. string comparison manipulation  and non binary tree traversal and try to find a root based path qualifying a certain requirement. 3. search an element from a matrix. 4. string reversing with some special characters to check. binarytree level by level traversal. 5. what are you expecting to be in 5 years  talk about previous working experience.   answer question
2015-05-16 13:44:06.01,i was approached by a recruiter who was interested in my profile  and invited me to a hiring event. before the interview was confirmed i was asked to take an online technical screen. the technical screen was fairly difficult  with a time limit. the questions were a mix of solving a programming problem  and reviewing code and answering questions  what could be improved  etc .,review code that is doing a integer conversion and point out all of the bugs and optimizations that could be made.   1 answer
2015-05-08 20:01:14.267,after employee referral went straight to the onsite. it s pretty standard  just like what everyone says. you go through 3 5 interviews  moving onto your fourth and fifth if you passed the first three. i only went through three and cut my interview day short. overall a great interview process  all the microsoft employees i ve talked to were super chill and great people.,implement ceaser cipher reverse a sentence  this is a sentence   gt  sentence a is this design the battleship game   answer question
2015-10-27 18:41:59.613,first there was a phone interview. then a couple of months after that  they fly you into redmond  wa for a day of interviews. i had four interviews  all of which were mostly technical and one of which was over lunch.,how would you design an alarm clock program    1 answer
2015-03-30 10:40:31.597,i was initially contacted by a microsoft recruiter via linkedin. after a brief exchange of emails  i had a telephonic interview scheduled roughly 2 weeks after initial contact. the interview itself was pretty straight forward and mostly behavioral  although there was an emphasis on explaining past projects in detail. the interview concluded with the  9 marbles brain teaser  question. after about 4 weeks  i received a followup email.,the nine marble question   answer question
Date, Experience, Questions
2015-04-08 19:28:15.337,i went to the career fair then got contacted for campus interview. this interview was pretty chill and questions were easy. then they flew me over to seattle and i had 5 in person interviews. i thought i did well but got rejected. first three interviews were technical heavy while next two consist of some behavioral and design questions. i learned alot even though i did not get an offer.,install dependencies.   answer question
2015-02-25 11:35:41.62,a applied online through their website and after 2 weeks they contacted me for skype interview. the interview was very enjoy and took about 15 minutes. this was hr interview. we talked about resume and my background. in the end of the interview  she asked me a simple quiz question about marbles.,you have 9 balls  equally big  equally heavy   except for one  which is a little heavier. you have a pair of balance scales and how you identify the heavier ball    1 answer
2015-02-20 19:41:57.937,very good interview  few basic algorithms and questions from strings. got call after career fair  and had interview the next day. was mostly a technical round. the interviewer really helped solving the questions,find all the palindrome in a given string.   answer question
2015-02-16 13:48:36.563,the interviewer was very nice and i was asked a simple problem about tree traversals. unfortunately  my mind went blank so i didn t get to the answer straight away. ended up figuring out the principles for the solution  but didn t have enough time to code the solution.,tree traversal   answer question
2015-01-14 07:24:44.443,i went through the college recruiting process. microsoft was among the companies that set up stations at our computer science major recruiting fair where i signed up. the first round was on campus  lasted about 40 minutes  and was easy for a computer science major. about a week later  a recruiter emailed me to tell me that i was being invited for on site interviews in redmond  seattle   wa. the recruiters are extremely fast and helpful in communicating  interestingly  microsoft s recruiting process outdoes other companies  google  fb etc  completely in efficiency and generosity. you re flown out to redmond and stay in a really comfy hotel with a generous spending budget. now  it s good to know how on site interviews work  you begin your day early by meeting with your recruiter  who you should befriend since they are  on your side   so to speak  and their input can matter in the decision process. then  you have consecutive technical interviews lasting about an hour each. you don t have to do perfectly in all of them  but i had a very strong feeling that the first 2 are the most important. the first one is particularly important. if you are doing well  you will get a 4th and sometimes 5th technical interview. if you re lucky  you will afterwards get a final interview with a manager of sometimes  like in my case  a really impressive big boss type person. this big boss can basically hire you on the spot  and its pretty cool that you get to meet someone like this. don t forget that for microsoft  as well as other companies  several things matter for college recruiting  your interviews  first and foremost  but also your coursework  projects  grades  internship experiences  etc. also  knowing more math than average cs majors helps. the next day i found out that i was getting an offer  and the next business day after that my recruiter called me with the details over the phone. microsoft really  really wants smart new grads. the company and culture has really been improving the past few years  and they want smart new grads to keep that up. offers are actually more generous than at other competing companies. in my case  you might really like the people you meet or have a personal connection with the big boss type person at the end  in which case your offer could potentially be for the team you actually interviewed with. in this case  you have a choice whether you want to be with that team or go back in the general  hired  pool which is distributed into teams at some later point.,thing of a simple o n 3  algorithm for finding the longest palindrome in a string. now a o n 2  one. now a o n log n  one.   1 answer
2015-02-25 19:04:50.957,sent in application for sde  sdet  and it positions in october. near the end of january a recruiter called me to schedule a phone interview. 30 minute phone interview with an engineer from the team i interviewed with asked basic questions    how do you troubleshoot your home network    how would you describe virtualization to your grandmother    questions about projects on my resume the next week i was selected for an on site. all expense paid trip to redmond. flew me in  stayed 3 days 2 nights in a sweet hotel  rental car  fancy meals  the works. the on site interview was with 4 engineers from the same team. 45 minute interviews with each one. most of them were simple conversations. if you make it to this round it s basically a culture fit. they didn t ask a single code question and none of those stupid  how many golf balls fit in a school bus  type questions. the whole team was really good. less than a week later the recruiter contacted me with an offer. they re looking for people that love what they do and love to learn and grow on their own. it s the whole culture they support up there.,design a service to automate the interaction between locked and encrypted nokia phones and microsoft.   answer question
2015-04-26 09:23:41.983,first round of phone screening was mainly talking about my background. i think the interviewer was from hr recruiting so was not very technical. you need to sell yourself in this round. i had a nice project in parallel computing which i focused on and i believe that is what help me secure an on site. i was also asked a common puzzle  3 baskets with oranges  apples and mixed. labels on the baskets are jumbled. find the correct baskets in one attempt by picking a fruit from any basket advice  impress your interviewer by marketing your skills well and back it up with the work you have done. i was flown in to seattle and based in a redmond hotel a night before my on site interview. on the day of the interview a microsoft cab picks you up from the airport and takes you to their recruiting building. there were many other candidates  but they were mainly for internships. you meet with your designated recruiter who is your point of contact post interview. as mentioned in other reviews  talk nicely with this recruiter and highlight your skill and more importantly your passion for microsoft. this recruiter has a say in your final yes or no decision. had 5 interviews on site with 5 senior engineers managers. each interviewers experience at microsoft progresivelly increased  ranging from 10 years to 25 years. each interview is for 1 hour  in which the interviewer will talk about his role experience for 10 15 minutes  ask about your experience for 10 15 minutes and the rest would be a coding question. these interviews were not exceptionally difficult. i felt and had heard that more than cracking every coding questions  at microsoft  it is more about 1. being very passionate and excited to join microsoft 2. writing clean quality code with comments  main driver function  corner cases  talking as you write and testing the code 3. presenting yourself professionally. you have the write background if you ve made it on site. focus on that background  while continually showing your excitment about being there and wanting to join microsoft. have a solid answer to  why microsoft   ask them smart questions which show your thinking ability. before starting to code on whiteboard  ask clarifying questions about the problem  talk about your design to the problem  point out any limitations. start coding with proper comments  spaces  use good variable functions names etc. you will hear back from the recruiter in 1 3 days. microsoft gives a generous offer  with bonuses and rsus  benifits  however  if you have a competing offer do negotiate. you will surely get a higher package.,url shortner  write a method which returns a 7 charchter string for every request. string should be unique on every request.   answer question reverse a sentence. how are you   gt  you are how   answer question make a copy of a binary tree and describe a solution to transfer this tree from machine a to machine b and unpack it at machine b. no correct answer  open ended.   answer question given a binary tree  with a next pointer. connect every node s next pointer to its immediete neighbour of the same level  if there is one  or the leftmost node of next level . using this a binary tree can be traversed like a linked list.  hint  bfs    answer question efficient way of finding if two strings are anagrams   answer question
2015-02-04 09:43:34.563,skype interview. 4 onsite interviews in seattle.  binary trees   linked list questions  seriously   solve all of the problems you can find without the solutions. stayed at the marriott hotel two nights. flights and all taken care of. recruiter was incredibly nice and supportive throughout the process.,find a loop in a linked list and fix it. set all nodes at the same depth to have a field  next  pointing to the next in the children..  bt    answer question
2015-02-26 16:24:48.25,first round was on campus university. then they flew me to ms for the second round at microsoft s headquaters in redmond. i had 4 interviews on that day of 45 minutes each. i had 15 minutes break between each of them. 3 technicals and one behavioural only. my trip to redmond lasted 3 days including fly days.,1. given a sorted matrix  find an element if it exists. 2. given an array of integers with positives and negatives values. sort it in a way where all negative values are on the left side by keeping the relative order. do it in place. 3. given an array of a stock value for each day  give an algorithm to find the maximum profit possible between a buy day and a sale day.   answer question
2015-02-06 11:22:21.14,submitted resume on school website  got an on campus interview after two weeks. the interview lasted half an hour. interviewer asked some behavioral and technical questions  also asked about general background  if you have taken hard core programming courses  etc.,fixed size array queue  what if you are running out of time to complete a project.   answer question
Date, Experience, Questions
2015-03-02 11:48:47.42,i had three one hour long interviews which essentially were 5 10 minutes of talking about microsoft or my resume  projects and then 40 45 minutes working through coding questions. felt like i answered the questions well and that the interviewers were satisfied with my answers. i found out the following business day i did not get the job offer and that  unfortunately  it is not our standard practice to share specific feedback. ,reverse a string convert int to roman numerals solve arithmetic of a string  2   3   6    answer question
2015-03-13 17:42:37.717,i was contacted by a recruiter via email after a university career fair. we set up an appointment time and met for an on campus interview. i only had a bit more than a week to prepare and it was in the middle of midterm season  so be careful of possible timing constraints. my interviewer was very friendly and helpful and gave me advice when i got stuck.,implement a stack  don t have to code from scratch  that has a getmax function.   answer question what was your favorite project    answer question
2015-02-22 14:04:14.727,on compus interview  ask me to introduce myself. then ask three technical problem. first is find duplicates in a string. second is find maximum continue sum in a array of integers. third is find duplicates in a single linked list,introduce yourself   answer question
2015-03-12 21:10:55.837,i spoke with a microsoft recruiter at a campus recruiting event. i was then given an on site interview the next week. the interviewer spent the majority of the time asking in depth questions about my resume  asking me to expand upon many bullet points. he then gave me a quick technical question. afterwards  the interviewer gave me time to ask some questions.,given a set of employee records  containing an id    age  and immediate supervisor s id    find all employees who have a supervisor in their hierarchy of k supervisors who is younger than them.   answer question
2015-04-20 14:30:08.177,the onsite interview started at 8am. they had a hotel at the shuttle to pick a group of us up at 7. you will be interviewing for the same position with a group of other people  though the actual interview portions are 1 on 1. it s 4 interviews and then lunch. they questions alternated between the interviewer seeming to think i was completely incompetent basic programming questions and normal fairly difficult technical interview questions. there is a good amount of emphasis on your past experience  and a decent amount of the harder problems only required pseudocode. it is 8am  and there are only minimal breaks between interviews  during which you sit in the lobby chatting with your fellow interviewees competition. there s some food there  as well as coffee  but be prepared to not have much time to eat or mentally refresh between interviews.,given a limited amount of information  design all the classes  just prototypes  no implementation  of how you would implement this system.   1 answer
2015-01-30 14:02:59.44,talked and submit the resume in campus recruit event  got interview invitation after few days. one on one on campus interview  ask about few questions of c  and one code problem  didn t answer well  got decline after the interview.,1. what s the difference between ienumerable and ilist. 2. interpret a string with different brackets and numbers and valid the string.   answer question
2015-01-17 01:00:42.4,the process started at my university career fair where i gave out a resume. they gave me a t shirt they got in touch a week later to schedule an on campus interview at the university career services building. the interviewer asked one general thinking question  not coding  and one coding question. they also asked about my resume and research. three or four weeks later i was contacted by an interview scheduler to setup an interview in redmond. due to the holiday season  i wasn t able to schedule the interview until a month later in january. the scheduler was not my recruiter and just was setting up the travel and timing. they flew me up and back and put me up in a hotel for 2 nights   3 days. on their campus i first met with my recruiter in their recruiting building number 111. they informed me of which team i was interviewing with and stated that i should expect 4 5 hour long interviews  with one extended to 90 minutes to include lunch . in the recruiting building  while waiting to meet with a recruiter  you can play xbox games  try out windows mobile products  and speak with a concierge who can help with sightseeing in seattle or nightlight or transportation. the interviews were each with someone from a different sub team inside the group i interviewed with. each person had me do a coding question  and some also asked algorithmic or conceptual questions  which didn t require explicit coding . everything was on the whiteboard. i had 5 total interviews  and had time in 4 of them to ask questions of the interviewer about their team. after the interviews i met with the recruiter again  and explained that i had immediate deadlines. they agreed to get in contact with the team and get back to me while i hung out in the lobby and relaxed. they came back and informed me that the team was very interested and would be making an offer. the offer arrived the next day  with fairly standard compensation and bonus stock. i ended up declining the offer.,describe how you would count the words in this newspaper  pointed to a physical newspaper     answer question how would you search a database for a matching string ignoring certain punctuation special characters  what pre processing would you do    answer question determine the best move for a player in a probabilistic game  with given probabilities for each outcome of each player s move.   answer question
